# pearsid  field  ra  dec  zspec  zspec_source  zspec_qual  netsig  imag
52138 GOODS-N 189.104018 62.206558 -99.0000 -99.0 - 77.98 25.01
51284 GOODS-N 189.109780 62.205439 -99.0000 -99.0 - 58.28 24.47
51107 GOODS-N 189.109928 62.204785 -99.0000 -99.0 - 15.02 25.88
51138 GOODS-N 189.110687 62.204625 -99.0000 -99.0 - 31.68 25.52
49923 GOODS-N 189.110831 62.203050 -99.0000 -99.0 - 15.51 25.95
74236 GOODS-N 189.110859 62.245530 0.6270 Barger_ACS Z 52.91 24.30
54847 GOODS-N 189.110895 62.214474 0.5565 Barger_UV Z 385.07 20.80
75943 GOODS-N 189.111687 62.249965 0.7938 Barger_ACS Z 110.86 23.05
47085 GOODS-N 189.112308 62.199067 -99.0000 -99.0 - 61.76 23.61
50951 GOODS-N 189.112654 62.204758 -99.0000 -99.0 - 30.10 25.41
75762 GOODS-N 189.112734 62.252615 0.7938 Barger_ACS Z 643.12 21.11
50165 GOODS-N 189.113349 62.203534 -99.0000 -99.0 - 41.44 25.06
47425 GOODS-N 189.113465 62.198176 -99.0000 -99.0 - 15.52 25.86
55923 GOODS-N 189.113842 62.216061 1.2230 Barger_K Z 328.03 22.76
75958 GOODS-N 189.113863 62.249033 -99.0000 -99.0 - 66.13 24.35
78908 GOODS-N 189.114702 62.253995 -99.0000 -99.0 - 20.42 25.27
47914 GOODS-N 189.114986 62.199560 -99.0000 -99.0 - 153.11 23.91
79970 GOODS-N 189.115024 62.256683 0.2071 Wirth_2004 3 140.79 23.20
53804 GOODS-N 189.115846 62.211311 -99.0000 -99.0 - 688.91 21.34
45924 GOODS-N 189.115866 62.196942 -99.0000 -99.0 - 44.39 24.38
52625 GOODS-N 189.115983 62.207594 -99.0000 -99.0 - 29.74 25.88
70857 GOODS-N 189.116152 62.246957 0.6802 Barger_K Z 547.56 21.33
58108 GOODS-N 189.116173 62.217401 -99.0000 -99.0 - 18.12 25.55
